image1,image2,text1,text2
images/ex_33_img_0.png,images/ex_33_img_1.png,the square table has a round base,the round table has a square base
images/ex_34_img_0.png,images/ex_34_img_1.png,pointy bushes are behind rectangular bushes,rectangular bushes are behind pointy bushes
images/ex_35_img_0.png,images/ex_35_img_1.png,a circular sign is above a rectangular sign,a rectangular sign is above a circular sign
images/ex_37_img_0.png,images/ex_37_img_1.png,soft shoes are on a smooth floor,smooth shoes are on a soft floor
images/ex_39_img_0.png,images/ex_39_img_1.png,the hurt person is on the left and the helpful person is on the right,the helpful person is on the left and the hurt person is on the right
images/ex_43_img_0.png,images/ex_43_img_1.png,a big cat is next to a small dog,a small cat is next to a big dog
images/ex_45_img_0.png,images/ex_45_img_1.png,a cold drink on a hot day,a hot drink on a cold day
images/ex_47_img_0.png,images/ex_47_img_1.png,the sailboat sails close but the beach is far away,the sailboat sails far away but the beach is close
images/ex_48_img_0.png,images/ex_48_img_1.png,the passenger is riding inattentive to the road and the driver is driving attentive to the road,the passenger is riding attentive to the road and the driver is driving inattentive to the road
images/ex_50_img_0.png,images/ex_50_img_1.png,the person with green legs is running quite slowly and the red legged one runs faster,the person with green legs is running faster and the red legged one runs quite slowly
images/ex_51_img_0.png,images/ex_51_img_1.png,a person is in the water and close to the sand,a person is close to the water and in the sand
images/ex_52_img_0.png,images/ex_52_img_1.png,a frog is above rocks which are under the water,a frog is under rocks which are above the water
images/ex_53_img_0.png,images/ex_53_img_1.png,driving off the road and on the unpaved terrain,driving on the road and off the unpaved terrain
images/ex_54_img_0.png,images/ex_54_img_1.png,someone is in a helicopter with a car,someone is with a helicopter in a car
images/ex_56_img_0.png,images/ex_56_img_1.png,jumping away from the photographer and towards the others,jumping towards the photographer and away from the others
images/ex_57_img_0.png,images/ex_57_img_1.png,someone bakes the dough before the dough is eaten,the dough is eaten before someone bakes the dough
images/ex_59_img_0.png,images/ex_59_img_1.png,there are three bananas and two apples,there are two bananas and three apples
images/ex_60_img_0.png,images/ex_60_img_1.png,someone has loaded their plate with one of the toast slices and two of the eggs,someone has loaded their plate with two of the toast slices and one of the eggs
images/ex_64_img_0.png,images/ex_64_img_1.png,the dog's leg is on the person's torso,the person's leg is on the dog's torso
images/ex_66_img_0.png,images/ex_66_img_1.png,the taller person's arm is around the shorter person's shoulder,the shorter person's arm is around the taller person's shoulder
images/ex_67_img_0.png,images/ex_67_img_1.png,the person in a brown coat looks back and the person in a black coat looks forward,the person in a black coat looks back and the person in a brown coat looks forward
images/ex_71_img_0.png,images/ex_71_img_1.png,the person wearing neutral colors poses and the person wearing brighter colors takes a picture,the person wearing brighter colors poses and the person wearing neutral colors takes a picture
images/ex_79_img_0.png,images/ex_79_img_1.png,the person that is on the table is eating the food,the person is eating the food that is on the table
images/ex_80_img_0.png,images/ex_80_img_1.png,the watering can is larger than the pot,the pot is larger than the watering can
images/ex_85_img_0.png,images/ex_85_img_1.png,the person who is wearing a crown is kissing a frog,the person is kissing a frog who is wearing a crown
images/ex_87_img_0.png,images/ex_87_img_1.png,The uncaged bird has an opened cage door,The caged bird has an unopened cage door
images/ex_89_img_0.png,images/ex_89_img_1.png,the person in pink was close to not winning,the person in pink was not close to winning
images/ex_90_img_0.png,images/ex_90_img_1.png,two humans and one wheel,two wheels and one human
images/ex_91_img_0.png,images/ex_91_img_1.png,clothing on lines,lines on clothing
images/ex_92_img_0.png,images/ex_92_img_1.png,someone talks on the phone angrily while another person sits happily,someone talks on the phone happily while another person sits angrily
images/ex_94_img_0.png,images/ex_94_img_1.png,The dog rides without a visible tongue,The dog rides with a visible tongue out
images/ex_98_img_0.png,images/ex_98_img_1.png,someone on the ground is spraying water towards a vehicle,someone is on a vehicle spraying water towards the ground
images/ex_99_img_0.png,images/ex_99_img_1.png,the dog wears as a hat what someone would normally bite,the dog bites what someone would normally wear as a hat
images/ex_100_img_0.png,images/ex_100_img_1.png,the happy one is on the left and the upset one is on the right,the upset one is on the left and the happy one is on the right
images/ex_101_img_0.png,images/ex_101_img_1.png,fake mustache and real hair on head,real mustache and fake hair on head
images/ex_102_img_0.png,images/ex_102_img_1.png,real cat with toy baby,toy cat with real baby
images/ex_104_img_0.png,images/ex_104_img_1.png,there is a pink couch with green pillows,there is a green couch with pink pillows
images/ex_105_img_0.png,images/ex_105_img_1.png,light colored dog with dark colored cat,dark colored dog with light colored cat
images/ex_106_img_0.png,images/ex_106_img_1.png,someone is wearing a black hat and yellow shirt,someone is wearing a yellow hat and black shirt
images/ex_107_img_0.png,images/ex_107_img_1.png,black socks and orange shoes,orange socks and black shoes
images/ex_108_img_0.png,images/ex_108_img_1.png,red building with white shutters,white building with red shutters
images/ex_109_img_0.png,images/ex_109_img_1.png,blue pants and green top,green pants and blue top
images/ex_112_img_0.png,images/ex_112_img_1.png,the red team kicking the ball directly next to the blue team,the blue team kicking the ball directly next to the red team
images/ex_115_img_0.png,images/ex_115_img_1.png,person in white is reading the orange book,person in orange is reading the white book
images/ex_117_img_0.png,images/ex_117_img_1.png,the circular mirror is on the left and the rectangular mirror is on the right,the rectangular mirror is on the left and the circular mirror is on the right
images/ex_120_img_0.png,images/ex_120_img_1.png,the balloon in the middle has less air and the other balloons have more air,the balloon in the middle has more air and the other balloons have less air
images/ex_122_img_0.png,images/ex_122_img_1.png,big fish beside a small person,small fish beside a big person
images/ex_123_img_0.png,images/ex_123_img_1.png,the train is moving fast while the person is still,the train is still while the person is moving fast
images/ex_124_img_0.png,images/ex_124_img_1.png,they're enjoying hot water on a cold day,they're enjoying cold water on a hot day
images/ex_125_img_0.png,images/ex_125_img_1.png,concrete floors with wood walls,wood floors with concrete walls
images/ex_126_img_0.png,images/ex_126_img_1.png,the person on the left has curly hair and the person on the right has straight hair,the person on the left has straight hair and the person on the right has curly hair
images/ex_127_img_0.png,images/ex_127_img_1.png,there's a metal bottle with a plastic lid,there's a plastic bottle with a metal lid
images/ex_129_img_0.png,images/ex_129_img_1.png,the car is sitting upside down while the person is standing rightside up,the car is sitting rightside up while the person is standing upside down
images/ex_137_img_0.png,images/ex_137_img_1.png,the dog's paw is on the cat's face,the cat's paw is on the dog's face
images/ex_139_img_0.png,images/ex_139_img_1.png,the dog is in the driver's seat and the person is in the passenger's seat,the dog is in the passenger's seat and the person is in the driver's seat
images/ex_140_img_0.png,images/ex_140_img_1.png,there are more trees than people,there are more people than trees
images/ex_141_img_0.png,images/ex_141_img_1.png,there are more computers than people,there are more people than computers
images/ex_142_img_0.png,images/ex_142_img_1.png,there is more wood than metal,there is more metal than wood
images/ex_145_img_0.png,images/ex_145_img_1.png,there is more red wine than white wine,there is more white wine than red wine
images/ex_146_img_0.png,images/ex_146_img_1.png,there's more milk than coffee,there's more coffee than milk
images/ex_147_img_0.png,images/ex_147_img_1.png,there's more cereal in the bowl than milk,there's more milk in the bowl than cereal
images/ex_151_img_0.png,images/ex_151_img_1.png,dress the display,display the dress
images/ex_153_img_0.png,images/ex_153_img_1.png,books holding up a person,a person holding up books
images/ex_154_img_0.png,images/ex_154_img_1.png,a dog is using a wheelchair next to a person,a person is using a wheelchair next to a dog
images/ex_157_img_0.png,images/ex_157_img_1.png,the flowers are taller than the people,the people are taller than the flowers
images/ex_158_img_0.png,images/ex_158_img_1.png,there's a human in a stroller next to a dog,there's a dog in a stroller next to a human
images/ex_160_img_0.png,images/ex_160_img_1.png,its tail is shorter than its body,its body is shorter than its tail
images/ex_161_img_0.png,images/ex_161_img_1.png,the child is throwing the adult the ball,the adult is throwing the child the ball
images/ex_162_img_0.png,images/ex_162_img_1.png,a person underneath lights,lights underneath a person
images/ex_165_img_0.png,images/ex_165_img_1.png,there's a phone on a map,there's a map on a phone
images/ex_166_img_0.png,images/ex_166_img_1.png,a person on a rock next to a dog,a dog on a rock next to a person
images/ex_167_img_0.png,images/ex_167_img_1.png,an adult is flexing beside a child,a child is flexing beside an adult
images/ex_168_img_0.png,images/ex_168_img_1.png,the person is looking at the dog,the dog is looking at the person
images/ex_169_img_0.png,images/ex_169_img_1.png,a cat is underneath a red blanket,a red blanket is underneath a cat
images/ex_170_img_0.png,images/ex_170_img_1.png,the person is bigger than the house,the house is bigger than the person
images/ex_171_img_0.png,images/ex_171_img_1.png,the person is underneath the car,the car is underneath the person
images/ex_175_img_0.png,images/ex_175_img_1.png,parent pointing at child,child pointing at parent
images/ex_177_img_0.png,images/ex_177_img_1.png,ice being dumped on top of fish,fish being dumped on top of ice
images/ex_178_img_0.png,images/ex_178_img_1.png,an adult kisses a child,a child kisses an adult
images/ex_179_img_0.png,images/ex_179_img_1.png,there's a dog in a mask and a person beside it,there's a dog and a person in a mask beside it
images/ex_180_img_0.png,images/ex_180_img_1.png,the baby on the phone is next to an adult,the baby is next to an adult on the phone
images/ex_181_img_0.png,images/ex_181_img_1.png,the person on the left has their arms up and the person on the right has their arms down,the person on the right has their arms up and the person on the left has their arms down
images/ex_183_img_0.png,images/ex_183_img_1.png,the orange on the left is moldy while the orange on the right is fresh,the orange on the right is moldy while the orange on the left is fresh
images/ex_184_img_0.png,images/ex_184_img_1.png,a pink scoop of ice cream on top and a blue scoop on bottom,a pink scoop of ice cream on bottom and a blue scoop on top
images/ex_185_img_0.png,images/ex_185_img_1.png,the glasses on the right are fuller than the glasses on the left,the glasses on the left are fuller than the glasses on the right
images/ex_186_img_0.png,images/ex_186_img_1.png,the person on the left is blowing bubbles and the person on the right is watching,the person on the right is blowing bubbles and the person on the left is watching
images/ex_194_img_0.png,images/ex_194_img_1.png,the dog is swimming and the person is standing,the dog is standing and the person is swimming
images/ex_195_img_0.png,images/ex_195_img_1.png,the person is jumping while the cat is sitting,the person is sitting while the cat is jumping
images/ex_196_img_0.png,images/ex_196_img_1.png,a cat is lying down and a person is stretching,a cat is stretching and a person is lying down
images/ex_197_img_0.png,images/ex_197_img_1.png,some people are standing but more are sitting,some people are sitting but more are standing
images/ex_202_img_0.png,images/ex_202_img_1.png,a car containing many a box,a box containing many a car
images/ex_205_img_0.png,images/ex_205_img_1.png,"four lions, no tigers","no lions, four tigers"
images/ex_207_img_0.png,images/ex_207_img_1.png,an older person blocking a younger person,a younger person blocking an older person
images/ex_212_img_0.png,images/ex_212_img_1.png,there is more love than hate,there is more hate than love
images/ex_213_img_0.png,images/ex_213_img_1.png,more water than oil,more oil than water
images/ex_216_img_0.png,images/ex_216_img_1.png,water below the boat,boat below the water
images/ex_225_img_0.png,images/ex_225_img_1.png,the red car is behind the blue car,the blue car is behind the red car
images/ex_231_img_0.png,images/ex_231_img_1.png,a person with long hair behind a person with a beard,a person with a beard behind a person with long hair
images/ex_236_img_0.png,images/ex_236_img_1.png,the person's head is above the rest of their body,the rest of their body is above the person's head
images/ex_240_img_0.png,images/ex_240_img_1.png,flat at the bottom and pointy on top,flat on top and pointy at the bottom
images/ex_243_img_0.png,images/ex_243_img_1.png,more hair on the person's face than on their head,more hair on the person's head than on their face
images/ex_244_img_0.png,images/ex_244_img_1.png,the knife on the left and the fork on the right,the knife on the right and the fork on the left
images/ex_248_img_0.png,images/ex_248_img_1.png,two people; the one on the right has curly hair and the one on the left doesn't,two people; the one on the left has curly hair and the one on the right doesn't
images/ex_250_img_0.png,images/ex_250_img_1.png,more kisses than hugs,more hugs than kisses
images/ex_251_img_0.png,images/ex_251_img_1.png,an inflatable flamingo on a person,a person on an inflatable flamingo
images/ex_252_img_0.png,images/ex_252_img_1.png,a pink bird with a white beak,a white bird with a pink beak
images/ex_256_img_0.png,images/ex_256_img_1.png,few wind turbines and many clouds,few clouds and many wind turbines
images/ex_259_img_0.png,images/ex_259_img_1.png,Young person playing baseball with a green bat and blue ball,Young person playing baseball with a blue bat and green ball
images/ex_261_img_0.png,images/ex_261_img_1.png,wearing a red jacket over blue,wearing a blue jacket over red
images/ex_265_img_0.png,images/ex_265_img_1.png,there are more pineapples than boxes,there are more boxes than pineapples
images/ex_266_img_0.png,images/ex_266_img_1.png,the outer bristles are blue and the inner ones are white,the outer bristles are white and the inner ones are blue
images/ex_269_img_0.png,images/ex_269_img_1.png,the text is black on white,the text is white on black
images/ex_270_img_0.png,images/ex_270_img_1.png,the dog sits and the cat stands,the dog stands and the cat sits
images/ex_271_img_0.png,images/ex_271_img_1.png,the person with facial hair cycles and the other person runs,the person with facial hair runs and the other person cycles
images/ex_272_img_0.png,images/ex_272_img_1.png,using the laptop while the guitar is close by,using the guitar while the laptop is close by
images/ex_273_img_0.png,images/ex_273_img_1.png,a person in a blue coat with a brown-ish coffee cup,a person in a brown-ish coat with a blue coffee cup
images/ex_278_img_0.png,images/ex_278_img_1.png,the person on the left is dancing and the person on the very right is sitting on the sofa,the person on the left is sitting on the sofa and the person on the very right is dancing
images/ex_279_img_0.png,images/ex_279_img_1.png,the person on the left is crying sadly while the one on the right is smiling happily,the person on the left is smiling happily while the one on the right is crying sadly
images/ex_283_img_0.png,images/ex_283_img_1.png,rough outside but smooth inside,smooth outside but rough inside
images/ex_285_img_0.png,images/ex_285_img_1.png,there are more humans than balls,there are more balls than humans
images/ex_288_img_0.png,images/ex_288_img_1.png,the gesture of the person sitting down is supporting the understanding of the person standing up,the gesture of the person standing up is supporting the understanding of the person sitting down
images/ex_289_img_0.png,images/ex_289_img_1.png,the circle is above the cross,the cross is above the circle
images/ex_290_img_0.png,images/ex_290_img_1.png,aerial view of a green tree in the brown freshly turned soil next to a green field,aerial view of a green tree in a green field next to the brown freshly turned soil
images/ex_291_img_0.png,images/ex_291_img_1.png,physical therapist inspecting blue elastic therapeutic kinesio tape over pink,physical therapist inspecting pink elastic therapeutic kinesio tape over blue
images/ex_294_img_0.png,images/ex_294_img_1.png,the sea is rough but the rocks are smooth,the sea is smooth but the rocks are rough
images/ex_297_img_0.png,images/ex_297_img_1.png,the pet on the right is white and the one on the left is not,the pet on the left is white and the one on the right is not
images/ex_301_img_0.png,images/ex_301_img_1.png,a dog is on a blanket with spots,a blanket is on a dog with spots
images/ex_302_img_0.png,images/ex_302_img_1.png,There is a mouse cake for a birthday,There is a birthday cake for a mouse
images/ex_306_img_0.png,images/ex_306_img_1.png,the person is not happy with the cat,the cat is not happy with the person
images/ex_308_img_0.png,images/ex_308_img_1.png,a taller person is covering the eyes of a shorter person,a shorter person is covering the eyes of a taller person
images/ex_309_img_0.png,images/ex_309_img_1.png,the plant is eating the bug,the bug is eating the plant
images/ex_317_img_0.png,images/ex_317_img_1.png,one cheerlearder supporting multiple cheerleaders,multiple cheerleaders supporting one cheerlearder
images/ex_328_img_0.png,images/ex_328_img_1.png,the person wearing a sweater stands in front of the person who isn't wearing a sweater,the person who isn't wearing a sweater stands in front of the person wearing a sweater
images/ex_337_img_0.png,images/ex_337_img_1.png,yellow duck shoes on,yellow duck on shoes
images/ex_341_img_0.png,images/ex_341_img_1.png,a person wearing yellow with their feet in the air and a person wearing stripes,a person wearing stripes with their feet in the air and a person wearing yellow
images/ex_349_img_0.png,images/ex_349_img_1.png,A person whispering into a dog's ear,A dog whispering into a person's ear
images/ex_357_img_0.png,images/ex_357_img_1.png,a person with long braids is exercising in front of a person without braids,a person without braids is exercising in front of a person with long braids
images/ex_360_img_0.png,images/ex_360_img_1.png,a child with a fake beard and an adult,an adult with a fake beard and a child
images/ex_366_img_0.png,images/ex_366_img_1.png,a horse getting wet,getting a horse wet
images/ex_368_img_0.png,images/ex_368_img_1.png,a person is touching the head of a squirrel,a squirrel is touching the head of a person
images/ex_369_img_0.png,images/ex_369_img_1.png,a deer's nose is resting on a child's hand,a child's hand is resting on a deer's nose
images/ex_370_img_0.png,images/ex_370_img_1.png,two sparklers for one hand,one sparkler for two hands
images/ex_372_img_0.png,images/ex_372_img_1.png,a spider towering over a dog,a dog towering over a spider
images/ex_378_img_0.png,images/ex_378_img_1.png,a person stretching behind a brown dog,a brown dog stretching behind a person
images/ex_379_img_0.png,images/ex_379_img_1.png,a person carrying more than one flotation device,more than one flotation device carrying a person
images/ex_380_img_0.png,images/ex_380_img_1.png,two kids on a pool floatie and one kid swimming,one kid on a pool floatie and two kids swimming
images/ex_389_img_0.png,images/ex_389_img_1.png,water is on and under a vessel,a vessel is on and under water
images/ex_391_img_0.png,images/ex_391_img_1.png,The worker wears something striped over a white undershirt with a collar,The worker wears something white over a striped undershirt with a collar
images/ex_397_img_0.png,images/ex_397_img_1.png,a large living thing in front of a large non-living thing,a large non-living thing in front of a large living thing
